Source	Station	IBMR_strata	IBMR_strata2	Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12
20mm	711	2	2	1995	6	6	0	11.18014775	0	59.62745466	0	567.9515057	0.745343183	1013.666729	1840.699526	0	22.86712886	0
20mm	711	2	2	1995	6	22	0	45.77062293	0	0	0	1507.379182	1.525687431	305.1374862	2537.523336	15.25687431	0	0
20mm	711	2	2	1995	7	10	0	25.02768455	0	333.7024607	0	694.1011183	1.668512303	133.4809843	5802.418387	16.68512303	0	0
20mm	711	2	2	1995	7	24	0	51.56566896	0	19.55484757	0	286.4759387	0	114.5903755	1232.075717	0	0	0
20mm	711	2	2	1995	8	1	0	180.0704612	0	717.6719348	0	102.2622372	9.336986879	0	567.6888023	0	0	0
20mm	716	1	1	1995	4	25	0	422.2240515	0	380.9164651	0	2111.120257	0	3237.051061	10580.93473	35.18533762	0	0
20mm	716	1	1	1995	5	9	0	235.711532	0	0	0	3614.243491	7.857051067	3771.384512	12605.85273	0	120.5271634	0
20mm	716	1	1	1995	5	23	0	471.3134678	0	739.4122787	0	3236.352479	7.855224464	4713.134678	22962.39215	0	963.9931462	0
20mm	716	1	1	1995	6	6	0	1859.688786	0	1192.840381	0	663.8889	71.98795301	1119.812602	12295.54237	0	736.1967994	0
20mm	716	1	1	1995	6	22	0	12080.16769	0	19085.07195	0	920.3937284	345.1476482	707.9951757	9812.813135	0	814.5484497	0
20mm	716	1	1	1995	7	4	0	6686.58061	0	15230.42183	0	623.410523	10.05500844	0	732.0046141	0	0	0
20mm	716	1	1	1995	7	24	0	4915.67157	0	8754.249602	0	330.0031264	27.50026053	0	462.0043769	0	0	0
20mm	716	1	1	1995	8	8	0	14701.18241	0	5346.989672	0	989.5026623	108.3741011	0	1029.082769	0	0	0
20mm	801	7	8	1995	4	26	0	1853.300121	0	173.3510186	0	144.8556416	4.260460048	85.20920095	823.1208813	14.20153349	1372.4646	0
20mm	801	7	8	1995	5	10	0	4682.313998	0	91.8100784	0	482.0029116	64.26705488	550.8604704	2583.535607	0	774.6016315	0
20mm	801	7	8	1995	5	24	0	5396.92994	0	6642.375311	0	426.2190825	11.07062552	442.8250207	325.4763903	0	3141.732816	0
20mm	801	7	8	1995	6	7	0	4988.896127	0	3052.055472	0	302.357341	58.45575259	322.5144971	778.8725104	0	927.6323222	0
20mm	801	7	8	1995	6	23	0	4979.920092	0	8598.637613	0	214.8200824	295.3776133	97.64549199	697.1888128	24.411373	74.89409236	0
20mm	801	7	8	1995	7	5	0	10653.12031	0	11395.02554	0	142.9949035	19.06598714	190.6598714	0	0	0	0
20mm	801	7	8	1995	7	19	0	10199.73426	0	27309.17169	0	505.4735564	12.03508468	722.1050805	0	0	0	0
20mm	801	7	8	1995	8	7	0	9943.771604	0	11883.23721	134.9114254	667.9785505	10.12088713	202.4177426	170.0309038	50.60443564	0	0
20mm	802	7	8	1995	4	26	3.72197518	2812.469967	0	341.5961656	0	117.5360583	4.197716368	223.8782063	822.7524082	0	1159.073444	0
20mm	802	7	8	1995	5	11	0	3629.325433	0	357.7664764	0	357.4831057	32.69662552	697.5280111	2050.732353	65.39325104	1270.634463	0
20mm	802	7	8	1995	5	24	0	4852.81763	0	1735.215339	0	179.4319124	51.65464144	978.7195221	502.4093547	0	1668.173052	0
20mm	802	7	8	1995	6	8	0	7912.23475	0	18560.58908	0	449.5066698	128.4304771	183.4721101	77.05828626	0	281.446217	0
20mm	802	7	8	1995	6	21	0	4705.402726	0	19850.91775	0	254.875981	107.8321458	0	494.0672862	0	0	0
20mm	802	7	8	1995	7	4	0	11153.56694	0	53755.45104	0	603.478018	32.32917954	862.1114543	0	0	0	0
20mm	802	7	8	1995	7	24	0	9648.764705	0	48519.50252	0	698.3867787	64.32509803	0	308.7604706	0	0	0
20mm	802	7	8	1995	8	8	0	17982.80502	0	34193.8252	0	463.4224262	40.29760228	0	0	0	0	0
20mm	804	7	8	1995	4	26	0	4621.127736	0	411.1975526	0	248.4477278	11.5942273	463.7690918	640.0013466	0	3557.108934	0
20mm	804	7	8	1995	5	10	0	16400.64216	0	1051.323215	0	630.7939292	77.09703579	560.7057148	1648.474801	0	1505.214491	0
20mm	804	7	8	1995	5	24	0	13105.1918	0	5393.01634	0	344.8734684	86.21836709	689.7469367	869.0811403	0	3879.596604	0
20mm	804	7	8	1995	6	7	0	5181.488107	0	5053.02146	0	845.0250577	134.1762761	228.3851507	431.6479349	0	1664.128401	0
20mm	804	7	8	1995	6	21	0	11290.60316	0	30587.61655	0	371.9257512	301.082751	0	148.7703005	0	271.6829059	0
20mm	804	7	8	1995	7	5	0	10927.78044	0	38647.0284	0	319.8374764	8.884374345	0	0	0	545.1452098	0
20mm	804	7	8	1995	7	19	0	7795.516868	0	34748.02236	0	658.7760734	51.23813904	0	0	0	0	0
20mm	804	7	8	1995	8	8	0	15640.17698	0	34101.11112	0	1604.120716	26.73534526	0	0	0	0	0
20mm	809	6	7	1995	4	24	0	734.9943372	0	53.59333709	0	257.248018	2.296857304	275.6228765	913.2304639	0	352.3379104	0
20mm	809	6	7	1995	5	8	0	2181.691657	0	309.2161403	0	430.6121066	13.74293957	778.7665757	1519.969117	11.45244964	632.4500791	0
