"","Scenario","Region","MeanBiomass","sdbiomass","MeanU95","MeanL95","GeoMeanBiomass","sdgio","lower","upper","Year"
"95","21000","SW Suisun",26.8073367375177,30.7114716466899,24.2938895441447,5.9910389847056,12.0720826000693,1.37903781774859,3.04000070090493,47.93919233621,"2024"
"96","21000","Suisun Marsh",5826.31715804579,5539.8490166264,2864.19668874809,880.399136245074,1633.03199480832,2.09254056934954,201.472544412495,13236.5107307508,"2024"
"97","Noaction","Confluence",9984.43758429962,13335.4462126486,6746.75615738921,3221.28503583519,4604.46353414504,1.25435436508389,1313.46909542695,16141.2891335519,"2024"
"98","Noaction","NE Suisun",277.294624577671,602.502579151554,85.022492009772,35.3782668224737,55.5164440505436,1.73188283309537,9.82368624183721,313.739209920117,"2024"
"99","Noaction","NW Suisun",55.6828914846599,126.032546538823,23.1321505534495,6.94634193440046,12.8991651596128,1.59794793757607,2.60964619686247,63.7590114763506,"2024"
"100","Noaction","SE Suisun",185.832950838499,379.674827460647,64.3732087242225,26.8302570600084,42.0981652006729,1.65411453306121,8.05175133366695,220.108078332323,"2024"
"101","Noaction","SW Suisun",4.43911807116714,4.62655502805416,6.61409736719765,1.85262544244184,3.50707712793839,0.570856799271298,1.98164273370557,6.20676460600393,"2024"
"102","Noaction","Suisun Marsh",1484.93334622643,2402.16205809433,668.226055746631,230.905986842896,403.001031048375,1.66641377886319,76.1363141943437,2133.14543453587,"2024"
"103","fallx2","Confluence",11682.3714063891,12496.2516057229,11803.8306412136,5457.60782281688,7954.67706679008,0.809872965570215,3539.15182293821,17879.110702966,"2024"
"104","fallx2","NE Suisun",294.216226359632,596.60201626611,153.47521245162,61.988219590833,99.1961661555925,1.2910452593956,27.2772795980411,360.735363825451,"2024"
"105","fallx2","NW Suisun",57.0125895657632,124.358849248038,32.2462671803913,9.250706410992,17.5569251132248,1.3420014819806,4.58801277383017,67.1849959070741,"2024"
"106","fallx2","SE Suisun",196.058646327735,374.60492224683,108.811152765254,43.9881692451754,70.4335719431393,1.26102052964331,19.9583877594168,248.561563011457,"2024"
"107","fallx2","SW Suisun",4.11026155216722,4.72938028105709,6.14507224429424,1.54126331290312,3.11548630691883,0.607910014399734,1.69634382435105,5.72186769525451,"2024"
"108","fallx2","Suisun Marsh",1508.64134832665,2387.06619236356,860.042873922088,287.206043811675,509.758898000573,1.43885830018666,120.914001890516,2149.08224050056,"2024"
